
#S 1
#N 10
#L photon energy [eV]  alpha [deg]  beta [deg]  size source V [um]  size [um]  source*M  footprint on grating [m]  C  resolving power 0.1  resolving power 0.5
250.000000   87.599856   85.847456   62.671855   10.709889   10.891784   0.044896   1.729114   9276.873573   17069.447375
368.421053   88.023911   86.580139   55.216354   9.397869   9.591526   0.045123   1.729937   8708.734633   16024.071724
486.842105   88.281430   87.025366   50.965779   8.656997   8.851006   0.045339   1.730359   8224.405518   15132.906153
605.263158   88.458946   87.332385   48.195279   8.176713   8.368622   0.045550   1.730616   7809.855876   14370.134812
723.684211   88.590817   87.560510   46.238182   7.838660   8.027989   0.045758   1.730789   7450.699142   13709.286421
842.105263   88.693756   87.738614   44.778715   7.587209   7.774035   0.045964   1.730913   7136.235786   13130.673846
960.526316   88.776999   87.882655   43.646894   7.392588   7.577129   0.046168   1.731007   6858.230171   12619.143514
1078.947368   88.846119   88.002270   42.742701   7.237355   7.419847   0.046371   1.731080   6610.162597   12162.699179
1197.368421   88.904705   88.103662   42.003293   7.110575   7.291244   0.046573   1.731139   6387.046271   11752.165140
1315.789474   88.955188   88.191034   41.387122   7.005043   7.184085   0.046773   1.731187   6185.130602   11380.640307
1434.210526   88.999277   88.267345   40.865588   6.915806   7.093391   0.046973   1.731227   6001.187623   11042.185226
1552.631579   89.038218   88.334748   40.418343   6.839346   7.015621   0.047171   1.731261   5832.728398   10732.220252
1671.052632   89.072940   88.394850   40.030503   6.773094   6.948184   0.047368   1.731290   5677.718153   10447.001402
1789.473684   89.104154   88.448882   39.690923   6.715127   6.889142   0.047567   1.731316   5534.466227   10183.417858
1907.894737   89.132414   88.497801   39.391094   6.663980   6.837013   0.047767   1.731338   5401.564673   9938.878998
2026.315789   89.158158   88.542366   39.124399   6.618515   6.790646   0.047965   1.731357   5277.829849   9711.206921
2144.736842   89.181738   88.583186   38.885618   6.577832   6.749134   0.048163   1.731375   5162.258923   9498.556418
2263.157895   89.203442   88.620758   38.670574   6.541215   6.711750   0.048360   1.731391   5053.995820   9299.352309
2381.578947   89.223505   88.655491   38.475888   6.508083   6.677906   0.048555   1.731405   4952.304765   9112.240767
2500.000000   89.242125   88.687726   38.298792   6.477961   6.647120   0.048750   1.731417   4856.549475   8936.051034
