	Line1	Line2	Center	Line3	Line4
21.1	-0.871333347	-1.536403196	-1.826784168	-2.013347664	-2.058588716
21.15	-0.876013666	-1.51561079	-1.868885951	-2.014787719	-1.968877289
21.2	-0.981523985	-1.708348394	-1.928961741	-1.979515764	-2.158752833
21.25	-1.087034305	-1.901102009	-1.989037538	-1.944227798	-2.348627347
21.3	-1.254296626	-1.936110635	-2.020671342	-1.791950822	-2.355610831
21.35	-1.421559948	-1.971134271	-2.052305152	-1.639659835	-2.362594286
21.4	-1.399064269	-1.861595918	-2.10292097	-1.713075837	-2.203912711
21.45	-1.376568592	-1.752073576	-2.153552794	-1.78649183	-2.045231106
21.5	-1.036460915	-1.787997245	-2.159108625	-1.864530811	-2.085005472
21.55	-0.696369238	-1.823905924	-2.164680463	-1.942569782	-2.124763808
21.6	-0.780425563	-1.778026614	-2.098917308	-1.897776743	-2.114199114
21.65	-0.864466887	-1.732164315	-2.03315516	-1.852982693	-2.103650391
21.7	-0.940757213	-1.772101026	-2.044830018	-1.900870632	-2.265402638
21.75	-1.017046539	-1.812052748	-2.056520884	-1.948758561	-2.427155856
21.8	-0.989683865	-1.840515481	-2.067112757	-2.05128848	-2.448787044
21.85	-0.962320192	-1.868978225	-2.077720636	-2.153833388	-2.470418202
21.9	-1.01848352	-1.887124979	-1.841470522	-2.060653285	-2.310500331
21.95	-1.074646848	-1.905287744	-1.605221415	-1.967489172	-2.15056743
22	-1.200116177	-1.95608952	-1.666137315	-1.785961048	-2.117633499
22.05	-1.325584506	-2.006875306	-1.727037222	-1.604417914	-2.084699539
22.1	-1.108096836	-1.908324104	-1.757405136	-1.56421777	-2.053077549
22.15	-0.890594166	-1.809756912	-1.787772056	-1.524000614	-2.021439529
22.2	-0.942897497	-1.81974073	-1.763009984	-1.757771449	-2.05019648
22.25	-0.995215829	-1.82972456	-1.738246918	-1.991542273	-2.078953401
22.3	-1.071337161	-1.8554104	-1.976499859	-2.095033086	-2.194563292
22.35	-1.147459494	-1.88108025	-2.214768808	-2.198523889	-2.310189154
22.4	-0.956460827	-1.821011112	-2.387439763	-2.240735681	-2.213289986
22.45	-0.765463161	-1.760941984	-2.560125725	-2.282946463	-2.116405789
22.5	-0.762651496	-1.826849867	-2.289956693	-2.122720234	-2.183919562
22.55	-0.759838831	-1.892757761	-2.019786669	-1.962508994	-2.251433305
22.6	-1.055962166	-1.815552665	-1.911222651	-1.747502745	-2.354699019
22.65	-1.352070503	-1.738333581	-1.802659641	-1.532496484	-2.457948703
22.7	-1.405868839	-1.714595506	-1.872134637	-1.699815213	-2.348491357
22.75	-1.459667177	-1.690872443	-1.94159564	-1.867148932	-2.239033982
22.8	-1.108008515	-1.72124239	-2.04561765	-1.87635564	-2.060118577
22.85	-0.756365853	-1.751597348	-2.149638667	-1.885577338	-1.881203142
22.9	-0.932448192	-1.829102317	-2.155943691	-1.980432025	-2.054429678
22.95	-1.108515532	-1.906591297	-2.162263722	-2.075270701	-2.227672184
23	-1.077215872	-1.996317287	-2.214084759	-2.008260367	-2.586231661
23.05	-1.045900213	-2.086059288	-2.265921804	-1.941234023	-2.944807108
23.1	-1.009336554	-2.017720299	-2.182854855	-2.045121667	-2.701560525
23.15	-0.972771896	-1.949381322	-2.099788913	-2.149009302	-2.458328913
23.2	-0.977132239	-1.961517355	-2.000807978	-2.185741926	-2.40667127
23.25	-0.981491582	-1.973668399	-1.90182705	-2.222491539	-2.355028599
23.3	-0.986446925	-1.888269453	-1.884266129	-2.044823142	-2.191142897
23.35	-0.99138627	-1.802856518	-1.866721215	-1.867170734	-2.027257166
23.4	-0.813357614	-1.765797594	-1.913736308	-1.915119316	-1.967634406
23.45	-0.63534496	-1.728738681	-1.960751407	-1.963083888	-1.907996616
23.5	-0.690821306	-1.846557779	-2.027068513	-2.038757448	-2.046585796
23.55	-0.746283652	-1.964375887	-2.093386627	-2.114446999	-2.185174946
23.6	-0.802140999	-2.017802006	-2.168629747	-2.152797538	-2.367205067
23.65	-0.857984347	-2.071228135	-2.243873874	-2.191164068	-2.549251158
23.7	-0.869409695	-1.916112275	-2.329966008	-2.212622586	-2.47008122
23.75	-0.880849044	-1.760981426	-2.416044148	-2.234098095	-2.390927252
23.8	-1.088883393	-1.863098588	-2.412750296	-2.209154592	-2.448477254
23.85	-1.296917743	-1.965230761	-2.409457451	-2.184212079	-2.506026226
23.9	-1.261650094	-1.887751944	-2.291723612	-1.894056556	-2.383232169
23.95	-1.226368445	-1.810272138	-2.17400478	-1.603886022	-2.260453083
24	-1.094909797	-1.765127342	-2.095515956	-1.661584478	-2.133782966
24.05	-0.963451149	-1.719981558	-2.017028138	-1.719283923	-2.00709682
24.1	-0.808127502	-1.883285784	-2.111009326	-1.759541357	-2.027063645
24.15	-0.652788855	-2.046591021	-2.205006522	-1.799814781	-2.04701544
24.2	-0.787077209	-2.025295268	-2.153144725	-1.940781195	-2.070125205
24.25	-0.921365564	-2.003998526	-2.101297935	-2.081762598	-2.09321994
24.3	-0.986730919	-1.980169795	-2.113675151	-2.15023399	-2.241192646
24.35	-1.052095274	-1.956356075	-2.126053374	-2.218705372	-2.389150322
24.4	-1.010800631	-1.872728365	-2.033434604	-2.107581744	-2.381040969
24.45	-0.969490987	-1.789099667	-1.940816842	-1.996472105	-2.372930586
24.5	-1.053547345	-1.867001978	-1.843377086	-1.832628455	-2.344924173
24.55	-1.137588703	-1.944903301	-1.745937336	-1.668800795	-2.316916731
24.6	-1.135052061	-1.958808634	-1.908308594	-1.734251124	-2.217803259
24.65	-1.13249942	-1.972729978	-2.070680859	-1.799700443	-2.118690757
24.7	-0.96167278	-1.915408333	-2.08359213	-1.824318751	-2.001282226
24.75	-0.79084714	-1.858086698	-2.096504409	-1.848936049	-1.883858665
24.8	-0.729548501	-1.763381075	-1.931009694	-2.058322336	-1.937699074
24.85	-0.668249863	-1.668674461	-1.765515986	-2.267693613	-1.991555454
24.9	-0.796251225	-1.598001859	-1.974472285	-2.283247879	-2.214844804
24.95	-0.924253587	-1.527313267	-2.183414591	-2.298802135	-2.438134125
25	-0.89035895	-1.500279686	-2.112447904	-2.27038038	-2.265092416
25.05	-0.856480314	-1.473246116	-2.041482223	-2.241957615	-2.092065677
25.1	-0.830017678	-1.635971557	-2.13406055	-2.227406839	-2.177765908
25.15	-0.803540043	-1.798682008	-2.226622883	-2.212839053	-2.26345211
25.2	-0.942818409	-1.82853347	-2.226092223	-1.967773256	-2.322694283
25.25	-1.082095775	-1.858369943	-2.225560571	-1.722691448	-2.381936425
25.3	-1.141555141	-1.771430426	-2.160072925	-1.742273631	-2.263139538
25.35	-1.201014508	-1.68449192	-2.094600285	-1.761871802	-2.144326622
25.4	-0.941855876	-1.772906425	-2.131850653	-1.773579963	-2.129639675
25.45	-0.682681244	-1.86132094	-2.169100028	-1.785289114	-2.114937699
25.5	-0.756056613	-1.861098467	-2.182835409	-1.891815254	-2.161194694
25.55	-0.829431983	-1.860859004	-2.196556798	-1.998357383	-2.207451659
25.6	-0.910757353	-2.041086551	-2.232494193	-1.986567502	-2.273651594
25.65	-0.992081723	-2.22131411	-2.268431595	-1.97477761	-2.339866499
25.7	-0.851865094	-2.111059679	-2.174623004	-1.916860708	-2.280288375
25.75	-0.711632466	-2.000789259	-2.08079942	-1.858942796	-2.220725222
25.8	-0.702869838	-1.94040085	-1.915274843	-1.937789873	-2.171432038
25.85	-0.694092211	-1.880012451	-1.749735273	-2.016637939	-2.122122825
25.9	-0.911952585	-1.803831063	-1.72207471	-1.813929995	-2.023206582
25.95	-1.129813959	-1.727648686	-1.694413153	-1.61123704	-1.92429131
26	-0.718478333	-1.557488319	-1.757419603	-1.530080075	-1.907346008
26.05	-0.307127708	-1.387327963	-1.820411061	-1.448939099	-1.890415677
26.1	-0.349131084	-1.449513618	-1.720926525	-1.689926113	-1.850902315
26.15	-0.39111946	-1.511683284	-1.621442996	-1.930898116	-1.811388924
26.2	-0.421083837	-1.44021696	-1.680710474	-1.899989109	-1.907679504
26.25	-0.451048215	-1.368765647	-1.739993958	-1.869079091	-2.003969054
26.3	-0.318887593	-1.331265345	-1.74285045	-1.800420063	-1.963326574
26.35	-0.186726971	-1.293780054	-1.745721949	-1.731745024	-1.922700064
26.4	-0.464539351	-1.393181773	-1.711072454	-1.716719975	-2.025260525
26.45	-0.74236773	-1.492598503	-1.676422966	-1.701694915	-2.127821957
26.5	-0.907128111	-1.490590244	-1.646824485	-1.485055844	-2.245443358
26.55	-1.071888491	-1.488581995	-1.617210011	-1.268416763	-2.36306573
26.6	-0.927062873	-1.487168757	-1.722773544	-1.333927672	-2.164494073
26.65	-0.782222255	-1.48577053	-1.828352084	-1.39943857	-1.965923385
26.7	-0.594260638	-1.494626314	-1.758301631	-1.412275457	-1.918398668
26.75	-0.406284021	-1.503482108	-1.688236184	-1.425128334	-1.870873922
26.8	-0.425902405	-1.500222913	-1.579306745	-1.532723201	-1.987305146
26.85	-0.445535789	-1.496978729	-1.470362312	-1.640318057	-2.10372134
26.9	-0.530050174	-1.472829555	-1.553678886	-1.643694902	-2.245527504
26.95	-0.614564559	-1.448680392	-1.637010467	-1.647071737	-2.387319639
27	-0.571484945	-1.42878924	-1.631688055	-1.638272562	-2.183758744
27.05	-0.528390332	-1.408913099	-1.62636565	-1.629472375	-1.98018182
27.1	-0.632740719	-1.489804968	-1.549510252	-1.593344179	-1.883920866
27.15	-0.737092107	-1.570682848	-1.47265486	-1.557216972	-1.787659882
27.2	-0.748959495	-1.604761739	-1.431718476	-1.460709754	-1.778998869
27.25	-0.760841884	-1.638824641	-1.390767098	-1.364217526	-1.770338826
27.3	-0.444080274	-1.536230553	-1.371284727	-1.279017287	-1.693470753
27.35	-0.127334664	-1.433652476	-1.351787363	-1.193832038	-1.616618651
27.4	-0.202129054	-1.34091541	-1.366607006	-1.307316778	-1.672853519
27.45	-0.276938445	-1.248193354	-1.381411656	-1.420801508	-1.729088357
27.5	-0.431826837	-1.193160309	-1.491766313	-1.596526227	-1.823318166
27.55	-0.58672923	-1.138113275	-1.602135977	-1.772265936	-1.917546945
27.6	-0.496042622	-1.092663252	-1.633358647	-1.784615634	-1.848263695
27.65	-0.405371016	-1.047213239	-1.664581325	-1.796964321	-1.778964415
27.7	-0.45771941	-1.189614237	-1.564640009	-1.707414999	-1.874902105
27.75	-0.510083805	-1.332030246	-1.4646827	-1.617865665	-1.970824766
27.8	-0.5620812	-1.357946265	-1.355890398	-1.334759321	-1.862829397
27.85	-0.614079596	-1.383861295	-1.247099103	-1.051651967	-1.754833998
27.9	-0.590042992	-1.373888336	-1.292054815	-1.100011602	-1.68614457
