Straight Section	Name	Period [mm]	Length [mm]	Gap min. [mm]	A(1)	A(2)	A(3)	A(4)	A(5)	A(6)	A(7)
1	U35a	35	1600	11	20	0.332	0	0	0	0	0
1	U35b	35	1600	10.6	20	0.332	0	0	0	0	0
1	U27b	27	1600	10.6	20	0.195	0	0	0	0	0
1	U27c	27	1400	10.9	20	0.195	0	0	0	0	0
2	U35a	35	1664	10.8	20	0.332	0	0	0	0	0
2	U21-4b	21.4	1600	11.3	20	0.106	0	0	0	0	0
2	U21-4c	21.4	1600	10.9	20	0.106	0	0	0	0	0
3	U35a	35	1641	11.5	20	0.332	0	0	0	0	0
3	U35b	35	1641	11.7	20	0.332	0	0	0	0	0
3	U32c	32	1632	11.3	20	0.281	0	0	0	0	0
6	CPMU18a	18	2000	6	6	0.98	0	0	0	0	0
6	U27c	27	1600	11.1	20	0.195	0	0	0	0	0
9	U27a	27	1600	10.8	20	0.195	0	0	0	0	0
9	IVU17c	17	2000	6	20	0.042	0	0	0	0	0
10	U35a	35	1600	11.3	20	0.332	0	0	0	0	0
10	U27b	27	1600	11.4	20	0.195	0	0	0	0	0
10	U35b	35	1600	11.4	20	0.332	0	0	0	0	0
10	U27c	27	1641	11.1	20	0.195	0	0	0	0	0
11	CPMU18a	18	2000	6	6	0.98	0	0	0	0	0
11	IVHU22c	22	2000	6.8	20	0.11	0	0	0	0	0
12	HU52a	52	1600	5.6	10	0.161	0.16	0	10	0.268	0.1208
12	HU42b	42	1600	6	20	0.426	0	0	0	0	0
12	HU38c	38	1600	14	20	0.383	0	0	0	0	0
13	U35a	35	1600	10.7	20	0.332	0	0	0	0	0
13	IVU18c	18	2000	6	20	0.052	0	0	0	0	0
15	CPMU18b	18	1500	6	5	1	0	0	0	0	0
15	IVU20c	20	2000	6	20	0.099	0	0	0	0	0
16	IVHU22a	22	2000	6	20	0.119	0	0	0	0	0
16	U22.4c	22.4	2300	11	10	0.48	0	0	0	0	0
16	U18.3c	18.3	2300	11	10	0.36	0	0	0	0	0
17	W125a	125	1600	17.8	20	1.24	0	0	0	0	0
17	W150b	150	1600	24.7	20	1.908	0	0	0	0	0
18	U20a	20	1600	11.2	20	0.086	0	0	0	0	0
18	U27a	27	1600	11.2	20	0.195	0	0	0	0	0
18	U20b	20	1600	10.6	20	0.086	0	0	0	0	0
18	U27b	27	1600	10.6	20	0.195	0	0	0	0	0
18	U20c	20	1600	10.6	20	0.086	0	0	0	0	0
18	U27c	27	1600	10.6	20	0.195	0	0	0	0	0
19	U13a	13	1600	11.3	20	0.02	0	0	0	0	0
19	U32a	32	1600	11.3	20	0.281	0	0	0	0	0
19	W150b	150	1030	26.5	20	1.776	0	0	0	0	0
19	U17-6c	17.6	1628	11.8	20	0.056	0	0	0	0	0
19	U32c	32	1628	11.8	20	0.281	0	0	0	0	0
20	U26a	26	1600	10.8	20	0.178	0	0	0	0	0
20	U32a	32	1600	10.8	20	0.281	0	0	0	0	0
20	U26b	26	1600	10.7	20	0.178	0	0	0	0	0
20	U32b	32	1600	10.7	20	0.281	0	0	0	0	0
20	U26c	26	1400	11.3	20	0.178	0	0	0	0	0
20	U32c	32	1400	11.3	20	0.281	0	0	0	0	0
21	U32a	32	1600	11.4	20	0.281	0	0	0	0	0
21	U42b	42	1620	15	20	0.429	0	0	0	0	0
21	U42c	42	1620	15	20	0.41	0	0	0	0	0
22	U35a	35	1628	10.8	20	0.332	0	0	0	0	0
22	U19a	19	1620	10.8	20	0.077	0	0	0	0	0
22	U23c	23	2000	6	20	0.11	0	0	0	0	0
23	U20-2a	20.2	1600	11.2	20	0.089	0	0	0	0	0
23	U35c	35	1630	11.6	20	0.332	0	0	0	0	0
24	U27a	27	1400	11.6	20	0.195	0	0	0	0	0
26	U35a	35	1664	10.8	20	0.332	0	0	0	0	0
26	U35b	35	1600	11.1	20	0.332	0	0	0	0	0
26	U27c	27	1600	10.9	20	0.195	0	0	0	0	0
26	U35c	35	1600	10.9	20	0.332	0	0	0	0	0
27	U35b	35	1641	11.3	20	0.332	0	0	0	0	0
28	U17-6a	17.6	1616.69	10.8	20	0.056	0	0	0	0	0
28	U32a	32	1628.4	10.8	20	0.281	0	0	0	0	0
28	U17-6b	17.6	1616.69	10.9	20	0.056	0	0	0	0	0
28	U32b	32	1628.4	10.9	20	0.281	0	0	0	0	0
28	U17-6c	17.6	1616.69	10.4	20	0.056	0	0	0	0	0
28	U32c	32	1628.4	10.4	20	0.281	0	0	0	0	0
29	IVU21c	21	2000	6	20	0.085	0	0	0	0	0
29	U35a	35	1600	11.3	20	0.316	0	0	0	0	0
30	U21-2a	21.2	2300	11	10	0.45	0	0	0	0	0
30	U35c	35	2300	11	10	0.74	0	0	0	0	0
31	CPMU14-1b	14.4	2000	5	5	0.97	0	0	0	0	0
32	HU88a	88	2500	16	20	0.56	0	0	0	0	0
32	HU88c	88	1605	16.3	20	0.56	0	0	0	0	0
