01-Dec-20  08:53:25
,,,,,,,,,,,,,
Straight Section,Name,Location,Period [mm],Length [mm],Gap min. [mm],A(0),A(1),A(2),A(3),A(4),A(5),A(6),
1,U35a,UpStream,35.0,1600.00, 11.000,20.0000, 0.3320, , , , , ,
1,U27b,Middle,27.0,1600.00, 10.600,20.0000, 0.1950, , , , , ,
1,U35b,Middle,35.0,1600.00, 10.600,20.0000, 0.3320, , , , , ,
1,U27c,DownStream,27.0,1400.00, 10.900,20.0000, 0.1950, , , , , ,
2,U35a,UpStream,35.0,1664.00, 10.800,20.0000, 0.3320, , , , , ,
2,U21-4b,Middle,21.4,1600.00, 11.300,20.0000, 0.1060, , , , , ,
2,U21-4c,DownStream,21.4,1600.00, 10.900,20.0000, 0.1060, , , , , ,
3,U35a,UpStream,35.0,1641.00, 11.500,20.0000, 0.3320, , , , , ,
3,U35b,Middle,35.0,1641.00, 11.700,20.0000, 0.3320, , , , , ,
3,U32c,DownStream,32.0,1632.00, 11.300,20.0000, 0.2810, , , , , ,
6,CPMU18a,UpStream,18.0,2000.00,  6.000, 6.0000, 0.9800, , , , , ,
6,PPU27-12C,DownStream,27.0,1600.00, 11.100,20.0000, 0.1950, , , , , ,
9,U27a,UpStream,27.0,1600.00, 10.800,20.0000, 0.1950, , , , , ,
9,IVU17c,DownStream,17.0,2000.00,  6.000,20.0000, 0.0420, , , , , ,
10,U35a,UpStream,35.0,1600.00, 11.300,20.0000, 0.3320, , , , , ,
10,U27b,Middle,27.0,1600.00, 11.400,20.0000, 0.1950, , , , , ,
10,U35b,Middle,35.0,1600.00, 11.400,20.0000, 0.3320, , , , , ,
10,U27c,DownStream,27.0,1641.00, 11.100,20.0000, 0.1950, , , , , ,
11,CPMU18a,UpStream,18.0,2000.00,  6.000, 6.0000, 0.9800, , , , , ,
11,IVHU22c,DownStream,22.0,2000.00,  6.800,20.0000, 0.1100, , , , , ,
12,HU52a,UpStream,52.0,1600.00, ,10.0000, 0.1610, 0.1600, 0.0000,10.0000, 0.2680, 0.1208,
12,U42b,Middle,42.0,1600.00, ,20.0000, 0.4260, , , , , ,
12,HU38c,DownStream,38.0,1600.00, 14.000,20.0000, 0.3830, , , , , ,
13,U35a,UpStream,35.0,1600.00, 10.700,20.0000, 0.3320, , , , , ,
13,IVU18C,DownStream,18.0,2000.00,  6.000,20.0000, 0.0520, , , , , ,
15,CPMU18b,Middle,18.0,1500.00, 24.000, 5.0000, 1.0000, , , , , ,
15,IVU20c,DownStream,20.0,2000.00,  6.000,20.0000, 0.0990, , , , , ,
16,IVHU22a,UpStream,22.0,2000.00,  6.000,20.0000, 0.1190, , , , , ,
16,U18.3C,DownStream,18.3,2300.00, 11.000,10.0000, 0.3600, , , , , ,
16,U22.4C,DownStream,22.4,2300.00, 11.000,10.0000, 0.4800, , , , , ,
17,W125A,UpStream,125.0,1600.00, 17.800,20.0000, 1.2400, , , , , ,
17,W150B,DownStream,150.0,1600.00, 24.700,20.0000, 1.9080, , , , , ,
18,U20a,UpStream,20.0,1600.00, 11.200,20.0000, 0.0860, , , , , ,
18,U27a,UpStream,27.0,1600.00, 11.200,20.0000, 0.1950, , , , , ,
18,U20b,Middle,20.0,1600.00, 10.600,20.0000, 0.0860, , , , , ,
18,U27b,Middle,27.0,1600.00, 10.600,20.0000, 0.1950, , , , , ,
18,U20c,DownStream,20.0,1600.00, 10.600,20.0000, 0.0860, , , , , ,
18,U27c,DownStream,27.0,1600.00, 10.600,20.0000, 0.1950, , , , , ,
19,PPU13-1,UpStream,13.0,1600.00, 11.300,20.0000, 0.0200, , , , , ,
19,PPU32A,UpStream,32.0,1600.00, 11.300,20.0000, 0.2810, , , , , ,
19,W150B,Middle,150.0,1030.00, 26.500,20.0000, 1.7760, , , , , ,
19,U17-6c,DownStream,17.6,1628.00, 11.800,20.0000, 0.0560, , , , , ,
19,U32c,DownStream,32.0,1628.00, 11.800,20.0000, 0.2810, , , , , ,
20,U26a,UpStream,26.0,1600.00, 10.800,20.0000, 0.1780, , , , , ,
20,U32a,UpStream,32.0,1600.00, 10.800,20.0000, 0.2810, , , , , ,
20,U26b,Middle,26.0,1600.00, 10.700,20.0000, 0.1780, , , , , ,
20,U32b,Middle,32.0,1600.00, 10.700,20.0000, 0.2810, , , , , ,
20,U26c,DownStream,26.0,1400.00, 11.300,20.0000, 0.1780, , , , , ,
20,U32c,DownStream,32.0,1400.00, 11.300,20.0000, 0.2810, , , , , ,
21,U32a,UpStream,32.0,1600.00, 11.400,20.0000, 0.2810, , , , , ,
21,U42b,Middle,42.0,1620.00, 15.000,20.0000, 0.4290, , , , , ,
21,U42c,DownStream,42.0,1620.00, 15.000,20.0000, 0.4100, , , , , ,
22,U19A,UpStream,19.0,1620.00, 10.800,20.0000, 0.0770, , , , , ,
22,U35A,UpStream,35.0,1628.00, 10.800,20.0000, 0.3320, , , , , ,
22,U23C,DownStream,23.0,2000.00,  6.000,20.0000, 0.1100, , , , , ,
23,U20-2a,UpStream,20.2,1600.00, 11.200,20.0000, 0.0890, , , , , ,
23,U35c,DownStream,35.0,1630.00, 11.600,20.0000, 0.3320, , , , , ,
24,U27a,UpStream,27.0,1400.00, 11.600,20.0000, 0.1950, , , , , ,
24,U27b,Middle,27.0,1600.00, 11.200,20.0000, 0.1950, , , , , ,
24,U27c,DownStream,27.0,1400.00, 10.900,20.0000, 0.1950, , , , , ,
24,U32C,DownStream,32.0,1400.00, 10.900,20.0000, 0.2810, , , , , ,
26,U35a,UpStream,35.0,1664.00, 10.800,20.0000, 0.3320, , , , , ,
26,U35b,Middle,35.0,1600.00, 11.100,20.0000, 0.3320, , , , , ,
26,U27c,DownStream,27.0,1600.00, 10.900,20.0000, 0.1950, , , , , ,
26,U35c,DownStream,35.0,1600.00, 10.900,20.0000, 0.3320, , , , , ,
27,U35B,Middle,35.0,1641.00, 11.300,20.0000, 0.3320, , , , , ,
28,U17-6a,UpStream,17.6,1616.69, 10.800,20.0000, 0.0560, , , , , ,
28,U32a,UpStream,32.0,1628.40, 10.800,20.0000, 0.2810, , , , , ,
28,U17-6b,Middle,17.6,1616.69, 10.900,20.0000, 0.0560, , , , , ,
28,U32b,Middle,32.0,1628.40, 10.900,20.0000, 0.2810, , , , , ,
28,U17-6c,DownStream,17.6,1616.69, 10.400,20.0000, 0.0560, , , , , ,
28,U32c,DownStream,32.0,1628.40, 10.400,20.0000, 0.2810, , , , , ,
29,U35a,UpStream,35.0,1600.00, 11.300,20.0000, 0.3160, , , , , ,
29,IVU21c,DownStream,21.0,2000.00,  6.000,20.0000, 0.0850, , , , , ,
30,U21-2a,UpStream,21.2,2300.00, 11.000,10.0000, 0.4500, , , , , ,
30,U35C,DownStream,35.0,2300.00, 11.000,10.0000, 0.7400, , , , , ,
31,CPM14-1B,Middle,14.4,2000.00,  5.000, 5.0000, 0.9700, , , , , ,
32,HU88A,UpStream,88.0,2500.00, 16.000,20.0000, 0.5600, , , , , ,
32,HU88C,DownStream,88.0,1605.00, 16.300,20.0000, 0.5600, , , , , ,
