Ulist,Carriage,Straight Section,position in straight (1=upstream),period [mm],Length [m],Kzmax,Kxmax,year
ID-UND/PPU35/7,id-carr/TO1/Carriage,1,1,35,1.6,2.25561,0,2017
id-und/ppu27/9,id-carr/RV102/carriage,1,2,27,1.6,1.402437781,0,2017
ID-UND/PPU35/22,id-carr/RV102/carriage,1,2,35,1.6,2.314006234,0,2017
id-und/ppu27/11,id-carr/TD13/Carriage,1,3,27,1.4,1.402437781,0,2017
ID-UND/PPU35/17,id-carr/TH9/Carriage,2,1,35,1.664,2.314006234,0,2017
ID-UND/PPU21.4/2,id-carr/TE5/Carriage,2,2,21.4,1.6,0.755438827,0,2017
ID-UND/PPU21.4/1,id-carr/TD3/Carriage,2,3,21.4,1.6,0.755438827,0,2017
id-und/ppu35/4,id-carr/TN5/Carriage,3,1,35,1.641,2.314006234,0,2017
id-und/ppu35/15,ID-CARR/TC3/Carriage,3,2,35,1.641,2.314006234,0,2017
ID-UND/PPU32/3,id-carr/TH3/carriage,3,3,32,1.632,1.928617414,0,2017
ID-UND/CPMU18/1,id-carr/IVU1/carriage,6,1,18,2,1.479456,0,2017
id-und/ppu27/12,id-carr/tk2/Carriage,6,3,27,1.6,1.402437781,0,2017
id-und/ppu27/13,id-carr/TK12/Carriage,9,1,27,1.6,1.402437781,0,2017
ID-UND/PPI17/1,id-carr/IVP02/Carriage,9,3,17,2,0.395109653,0,2017
ID-UND/PPU35/12,id-carr/TN6/carriage,10,1,35,1.6,2.314006234,0,2017
ID-UND/PPU35/14,id-carr/RT1/Carriage,10,2,35,1.6,2.314006234,0,2017
ID-UND/PPU27/2,id-carr/RT1/Carriage,10,2,27,1.6,1.402437781,0,2017
ID-UND/PPU27/1,id-carr/TK3/Carriage,10,3,27,1.641,1.402437781,0,2017
id-und/cpmu18/2,id-carr/IV091/Carriage,11,1,18,2,1.6812,0,2017
id-und/hpi22/1,ID-CARR/IVR02/Carriage,11,3,22,2,1.602744,0,2017
id-und/PPH42/1,ID-CARR/HH1/Carriage,12,1,42,1.6,1.873174097,1.261364784,2017
id-und/pph52/2,ID-CARR/HE1/Carriage,12,2,52,1.6,2.67124,1.991288,2017
id-und/pph38/1,id-carr/A03/Carriage,12,3,38,1.6,2.023044,1.348696,2017
id-und/ppu35/16,id-carr/TK9/Carriage,13,1,35,1.6,2.314006234,0,2017
ID-UND/PPI18/1,id-carr/IVP04/carriage,13,3,18,2,1.0019952,0,2017
ID-UND/HPI22/2,id-carr/IVW1/carriage,15,1,22,2,1.602744,0,2017
ID-UND/HPI20/1,id-carr/IVR03/Carriage,15,3,20,2,1.4944,0,2017
ID-UND/HPI26/1,ID-CARR/LIV101/Carriage,16,1,26,2.5,2.4284,0,2017
ID-UND/PPU22.4/1,id-carr/SR104/Carriage,16,3,22.4,1.4,0.849849944,0,2017
ID-UND/PPU18.3/1,ID-CARR/SR104/Carriage,16,3,18.3,1.4,0.491399412,0,2017
ID-UND/PPU18.3/2,ID-CARR/SR102/Carriage,16,4,18.3,1.4,0.491399412,0,2017
ID-UND/PPU22.4/2,id-carr/SR102/Carriage,16,4,22.4,1.4,0.849849944,0,2017
ID-UND/HPW125/1,id-carr/SB1/carriage,17,1,125,1.6,17.5125,0,2017
