 ****************** Start WS v. 1.61 at 2017-04-03 11:34:43 ******************
 
 inputs from xoppy
 energy   6.040 GeV   current 200.0 mA
 period   5.399  cm   N        18.0      Kx      0.000      Ky      5.040
 emin    2000.0  eV   emax  50000.0 eV   ne        500
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      1.000  mm   yps     1.000 mm   nxp        50      nyp        50
 
 b0       1.000   T   ec0    24.258  keV
 e1      468.39  eV   l1     26.470  A
 ptot    4484.5   W   pd       57.5  W/mm^2
 
 Flux through   1.000 mm x  1.000 mm pinhole at  0.000 mm,  0.000 mm @ 30.000 m:
 Integrated flux   1.377E+16 ph/s
 Integrated power      36.64 W
 
 Energy(eV)   Flux(ph/s/0.1%bw)    p1      p2      p3      p4
   2000.000   2.072446E+012     0.994   0.000   0.000   0.006
   2096.192   2.134272E+012     0.994   0.000   0.000   0.006
   2192.385   2.194797E+012     0.994   0.000   0.000   0.006
   2288.577   2.254082E+012     0.993   0.000   0.000   0.007
   2384.770   2.312185E+012     0.993   0.000   0.000   0.007
   2480.962   2.369156E+012     0.993   0.000   0.000   0.007
   2577.154   2.425042E+012     0.993   0.000   0.000   0.007
   2673.347   2.479885E+012     0.993   0.000   0.000   0.007
   2769.539   2.533725E+012     0.993   0.000   0.000   0.007
   2865.731   2.586598E+012     0.993   0.000   0.000   0.007
   2961.924   2.638537E+012     0.992   0.000   0.000   0.008
   3058.116   2.689575E+012     0.992   0.000   0.000   0.008
   3154.309   2.739739E+012     0.992   0.000   0.000   0.008
   3250.501   2.789058E+012     0.992   0.000   0.000   0.008
   3346.693   2.837556E+012     0.992   0.000   0.000   0.008
   3442.886   2.885258E+012     0.992   0.000   0.000   0.008
   3539.078   2.932185E+012     0.992   0.000   0.000   0.008
   3635.271   2.978359E+012     0.992   0.000   0.000   0.008
   3731.463   3.023800E+012     0.992   0.000   0.000   0.008
   3827.655   3.068526E+012     0.991   0.000   0.000   0.009
   3923.848   3.112555E+012     0.991   0.000   0.000   0.009
   4020.040   3.155904E+012     0.991   0.000   0.000   0.009
   4116.232   3.198590E+012     0.991   0.000   0.000   0.009
   4212.425   3.240627E+012     0.991   0.000   0.000   0.009
   4308.617   3.282029E+012     0.991   0.000   0.000   0.009
   4404.810   3.322811E+012     0.991   0.000   0.000   0.009
   4501.002   3.362987E+012     0.991   0.000   0.000   0.009
   4597.194   3.402567E+012     0.991   0.000   0.000   0.009
   4693.387   3.441565E+012     0.991   0.000   0.000   0.009
   4789.579   3.479993E+012     0.991   0.000   0.000   0.009
   4885.772   3.517860E+012     0.990   0.000   0.000   0.010
   4981.964   3.555178E+012     0.990   0.000   0.000   0.010
   5078.156   3.591958E+012     0.990   0.000   0.000   0.010
   5174.349   3.628208E+012     0.990   0.000   0.000   0.010
   5270.541   3.663940E+012     0.990   0.000   0.000   0.010
   5366.733   3.699160E+012     0.990   0.000   0.000   0.010
   5462.926   3.733879E+012     0.990   0.000   0.000   0.010
   5559.118   3.768106E+012     0.990   0.000   0.000   0.010
   5655.311   3.801847E+012     0.990   0.000   0.000   0.010
   5751.503   3.835112E+012     0.990   0.000   0.000   0.010
   5847.695   3.867907E+012     0.990   0.000   0.000   0.010
   5943.888   3.900241E+012     0.990   0.000   0.000   0.010
   6040.080   3.932120E+012     0.990   0.000   0.000   0.010
   6136.273   3.963552E+012     0.989   0.000   0.000   0.011
   6232.465   3.994544E+012     0.989   0.000   0.000   0.011
   6328.657   4.025101E+012     0.989   0.000   0.000   0.011
   6424.850   4.055231E+012     0.989   0.000   0.000   0.011
   6521.042   4.084939E+012     0.989   0.000   0.000   0.011
   6617.234   4.114232E+012     0.989   0.000   0.000   0.011
   6713.427   4.143116E+012     0.989   0.000   0.000   0.011
   6809.619   4.171596E+012     0.989   0.000   0.000   0.011
